review_sentiment,text
__label__2,Like silky velvet dreams: The moment I put this cd on and heard the light lulling strum of a dreamy guitar fluttering like soft breezes that carried with them the whispered caresses of sun-kissed Gregorian chants followed by the ocean spray of some middle eastern voice sweetly singing amidst gorgeous strings and a hypnotic beat I knew this was going to be one journey I'd be willing to take for many years to come...and that was the impression I got from the first track alone! Imagine what ensued... It only gets better from there!Every song is aptly titled to create a spellbinding mood and while I find this exotically soothing debut album by Black Ether (an astonishingly overlooked group) extremely hard to classify because it is so diversified in its use of instruments and styles I'd have to say if you enjoy lush chillout music with an ethnic-world flavor to it than this is most definitely your cup of tea.
__label__1,He isn't what I remember.: The CD isn't what I remember about Liberace. He was a great performer and showman. On this CD  there is very little of his solo piano music. Very little grand piano type music at all. Most of what you do get is overshadowed by the background music. I was disapointed.
__label__1,Need to proof read your work: This book could be useful if the examples actually worked. I have barely reached the 50th page and all ready I have found more errors than should be allowed in an entire book. The examples are mis-quoted and several don't work. The book might be more helpful if the proof reader knew enough on the subject to correct the more obvious errors. If you buy this book be ready to experiment with the syntax which may be close but not always correct.
__label__1,NOT RECOMENDED DO NOT BUY THIS WARMER: hi i bought this warmer for a vacation trip i was really dissapointed it wasnt even 3 minutes that i had it on for the first time and it started to get ON FIRE!!!! melted plastic all over the place smoke like crazy all around the car it is VERY UNSAFE DO NOT BUY THIS PRODUCT DO NOT SPEND YOUR MONEY DONT PUT YOUR BABY IN DANGER IF YOU HAVE THIS PLUGGED IN YOUR CAR CUS THE WARMER MIGHT GET ON FIRE MINE DID!!!! i hope this review helps you i wont EVER buy this product EVER again.
__label__1,Waste of money: I bought this for our first long trip with the baby. It was a waste of money and time. My baby was on pumped milk so we couldn't just grab some hot water from a drive thru. It would have taken hours for her milk to get warm enough and she is not that patient (neither are most babies for that matter).
__label__2,It is what is......: West-West yall! This album is good for what it is meant to be West coast Gangsta music. It's all about lowridin smokin chronic kickin' it and gangbangin in the Golden State. Those who are accustomed to Down South music will probably not like some of the west coast funk. It's a different flavor for some. Me being from Cali I love this stuff. It is rare that someone captures the essence of the west. I do agree with this not being the best album but it's still worth buying. It's got enough head-bangers to get you to the club. That's Cali-4-ya.... 3 1/2 stars
__label__2,Erotic and Romantic... One of Anne's Best!: Exit to Eden is one of Anne's Best works in my opinion. Many people were turned off by the film adaptation (why hollywood decided no one would want to see a bondage film is beyond me <eg>) but this book focuses on the relationship of Master and Slave and what happens when the tables are turned. Anne has many sides and Lestat is just one of them. True Rice Fans will adore this beautiful work of fiction.
__label__2,Wonderful story coupled with steamy erotic scenes.: This book was hard to put down. The story was excellent and the erotic scenes were just as good. Like all of Anne's books this one was very tastefully done. Well worth it!
__label__1,Stick with Sleeping Beauty: Perhaps in it's time this book was cutting edge but for those of us within the lifestyle it's tame and contrived to a very unsatisfying degree. It's ironic that the film adaptation was watered down even more and turned into one of the worst movies you're likely to see. Ann Rice didn't deserve such treatment.There are books that capture the true essence of the BDSM fanatsy that are much more engrossing and interestingly enough Ms Rice has written them as well. (writing as A. N. Roquelaure see her trilogy in the Sleeping Beauty series)
__label__1,Vile from the beginning: Let me start by saying that I never put down a book even if I don't like it. This is one that I couldn't even get past the first few pages. Maybe I didn't give it a chance but the foul language and vile event depicted in the first few pages turned me off completely to this book. I'm glad it was a free download on Kindle. I gave it two stars only because I didn't give it a chance to get better. If I hadn't deleted it maybe I would give it another chance but I certainly won't pay for it.
__label__1,spirirt house. a boring bloody mess.: shame on me for buying it. shame on me for reading it. karen b. wisconsin
__label__2,Spirit House: Read This In An Air-Conditioned Space: Reviewer: Renee S. NYC. August 13 2008The plot is typical Noir the hero typical world-weary and disillusioned Hammett orChandler but the atmosphere is stunning!It was a whole new world for me and I fellcompletely into it from Vinnie's first nightmare to the final dripping conclusion.Mr. Moore's descriptions of Thailand andthe Thai people are evocative and real. Onecan feel the heat and humidity see the swirlsand flashes of colors and almost touch the waves of misery that radiate offthe pages. And the story's not bad either. I was interested in all the little tidbitsabout life in Bangkok - and the story's not bad either. There were a confusing numberof characters some of whom did not advance the plot at all and the plotting could have been tighter but all-in-all I would definitely recommend the book. Just be sure you read it in an air-conditioned space because otherwise you will surely melt from its heat!
__label__1,I HATE THIS BOOK: I thought this was the worst book I ever read. There was no point and way to confusing. he would ramble on about stuff not even importnat to the plot! i hated reading this! stay away from this book!
__label__1,Re: Is 451 degrees really the temp books burn at?: If it is then I will imediatly torch the books to bits and pieces. The book proves one point to me: burning books and their society is much better than ours where Farenheit 451 can be published
__label__1,NOT THAT GOOD: Fahrenheit 451 was a disappointing book for a reader who is not an avid science fiction lover. This book is very difficult to read. The correctors a sometimes very confusing to understand. The setting is also very hard to have a visual picture. Although the plot is very good the way that it is described is hard to understand. I think if you are a science fiction lover that you would like this book. But if you sometimes like to read science fiction you will not like this because you have to be a huge science fiction lover to like this. I also think you need to be above the 6th grade or a very advanced reader.
__label__2,Start memorizing this book.: I don't give very many things five stars.Bradbury's novel is simple powerful beautiful and truly marvelous.A negative utopia along the lines of Brave New World or 1984 I like this book more than either of those because it is ultimately utterly hopeful. Bradbury is in love with a messed up world and his message comes across with an urgency and honesty that is both startling and impressive.You know the plot -- they burn books because they're scared of ideas. Montag wonders about the ideas and becomes an outcast in a sterile society. This book makes me want to change the world. And so I want you to read it. And then maybe memorize it.A quick read and a fairly easy read. Engrossing enough that you won't want to put it down and once you finish it you might be tempted to just start over and read it again. I recommend doing just that.
__label__2,dystopian classic: Wow what a great book about a dystopian society censorship and the need of the state to keep the masses blind deaf and dumb. If you enjoyed "1984" "Brave New World" or "The Giver" you must read this. It is now one of my favorites!
__label__2,really good: this was a good book. the part called "coca"is the best (about cencorship) the book is kind of like "the giver" only a lot better.
__label__2,What a classic: To be perfectly honest I really don't understand how this classic is rated below a 4-star by any reader. Yes I know that every reader has their own personal taste but this story is a classic for the ages. Every kid in a middle school should have to read this story about how lucky we are to be able to read books no matter what the content or agenda the story might contain.Anyone who has never read this story should pick up a copy and start immediately. It's the best $.25 you will ever spend.
__label__1,Didn't Like it!!: Confusing disturbing and stupid are some of the few words to use when describing this book. Firemen who start fires?? Come on. Burning every book that exists this isn't a look into the future. It's a look into Bradbury's twisted little mind. Bottom Line.... Don't waste your time.
__label__2,A book with many levels: What appears on cursory reading to be a story of banned books with reflection is a comment on the systematic suppression of free thought and free speech. The book gives insight into how those who look the other way or are concerned with rights only as applied to them can actually further the loss of individual freedoms. A very thought provoking novel.
__label__2,Fahrenheit 451: I read this book as a teenager and I wanted my students to read it as well. Although I loved it I did not get the same reaction as when they saw the video. However they did think the video was cheesy... :D
__label__1,Great Book to read but NOT to LISTEN to.: I have always liked this book to read so I thought I would get it on CD. Ray Bradbury reads it and it is very bad. It was so painful to listen to his voice I had to turn it off. He reads in such a monotone voice it put me to sleep. Someone needs to re-make the CD's.
__label__1,DON'T READ THIS MIND-NUMBING DRIVEL!: This book doesn't deserve one star. It deserves negative 1000 stars. This was the WORST book I have ever read. The book moved to slow and the characters are stupid. Guy Montag the main character is a fireman who sets books on fire becuase homes are fireproof. Then he meets this crazy girl nmaed Clairese who rambles about dumb stuff of the past that is not important like (Did you know that one time billboards were only 20 feet long instead of 200) WHO CARES?!?! If there is one book that deserves to be burnt it is this.
__label__1,Hardly even deserves 1 star: This is definitely one of the WORST books I have ever come across. In the modern version there is a forword and an introduction. Both of them have nothing to do with the story and Ray Bradbury babbles on and on about his past and how he came up with the ideas for other books that NO ONE CARES ABOUT! I almost fell asleep during the forword I dont know how I survived the book. The book drags on and one at a painfully slow pace. As for Ray Bradbury himself he states in the introduction that in his eyes Hitler burning and brutally killing people is on the same level as the burning of a book. I think that this statement is pretty much self explanatory for his views on humanity. Great guy eh?
__label__2,Captivating language needless to say amazing.: Being only a teenager what I have to say usually means nothing or gets no credit. I personally loved this book reading it just a day ago. I was entirely captivated with the plot and the idea of censorship in the future and that it was precise that it being a book would be censored is unbelievable. What possesses any person to censor a book that is so realistic it is amazing. To actually prove to the writer that his writings are so precise is astonishing. I would recommend this to anyone. You don't need to love to read just know how to read.
__label__2,Ok: I felt the author of the book should of described the war a little more. Still I thought it had some very interesting perspectives on how the world might become.I thought it was weird how all the fireman looked the same. The mechanical hound was a great part of the story. It had us guessing if it would attack Montag or not. Over all I felt this book was well worth reading.
__label__2,Excellent!!! My #1 book of all time!!!: I was actually forced to read this book for a high school english class and fell in love with it. It's simply chilling in it's portrayal of the "future" and the deliberate ambiguity about Clarrise is very cool. The deeper themes in this book make it one completely rife with feeling. A very poignant book it's definitely a must-read.
__label__2,Very important book: This book is a very important must-read for every person living in America at this time in history. The paralells that can be drawn from the story in this novel to the "dumbing of America" that is going on today are quite unnerving and quite scary. This book should be required reading for everyone who has ever turned on the television to escape from the world (which is just about everyone in this country).
__label__2,It'll never go out of date: I was at the Foreign Language Bookstore on Yanan Road here in Hangzhou when I saw this classic on the shelf. Would you believe I'd never read it? We read some Bradbury in school about 25 or 30 years ago and he didn't make much of an impression on me. I can't remember why. But knowing the fault could've been mine I gave him another shot. Books are cheap here and hey it's famous right?Well folks it's famous for a damn good reason. Many in fact. Fifty years old and it is perhaps more relevant than ever. But so what? Is it good writing? Does it entertain? Does it have real characters? Is it more than just an oh-so-correct theme dressed up as a novel? Oh yes it is! It's absolutely fantastic and I just plain can't recommend it enough.If you love sci-fi great. If not it doesn't matter. I can say "transcends the genre" with a straight face. Yes I can. I'll be reading this one again folks. I didn't write it and I'm just sick with jealousy about it okay?
__label__1,Bleak Blind and Boring.: Being forced to read it in school for its "so called"relation to censorship (sp?) I would have to say !!BURN IT!! Althoughthe book is about censorship and why/how it is wrong I can't say much good about it. The theme itself is good but the story itself is trash. One of the most un-realistic ideas i've ever heard. First off everyone in the country is an idiot. Second that includes the hero. Third even those who have minds of their own have no intellegence. And finally way to many cracks in the foundation of the story and two many holes in the story itself.L8r.
__label__1,Fahrenheit 451 Burning Up My Brain: I read Fahrenheit 451 this year in the seventh grade as a required reading. As I read this book I got more and more confused. The plot twisted and turned and left me hanging wondering "wait... what happened?". Mr. Bradbury used large words that I learned as vocab. I would recommend this book to no one under the age of about 13 maybe 12. I chose this age because of the hard concepts of burning books and the fast-moving plot of the hound.
__label__1,Sadly a disappointment: Perhaps it is dated. Perhaps it was just built up too much. But this is yet another book that came highly recommended both by other 'day-to-day' readers and critics alike that i just could not enjoy.Bradbury's tale of a world where books is banned has a powerful and interesting premise. But it does not seem to follow through for me. Which is a shame - here is a book that is about the importance of books in our lives but it is so boring that rather than 'get something' out of it you just come away thinking how boring it is.Or at least i did.
__label__2,F 451 shows how dangerous a person's ideas are.: I enjoyed this book very much because it gives you an extreme .look towards censorship and how the media can influence the way we think. An individuals ideas and thoughts are shunned for society in general
__label__2,A must read - especially for teenagers.: This is my first re-read of this book as an adult (I'm now 46). I recalled enjoying the book a lot when I first read it around the age of 17 - I recently recommended it to my daughter age 14 and she thought it was one of the best books she ever read. My attitude now towards the subject of potential loss of freedom combined with mass culture although much more down-to-earth than it was in my teens is still pretty much the same: respect and appreciation of human freedom of expression. Bradbury is very clear in his fight for freedom the extreme fictional situation he devised is now more real than ever - true we are not prohibited from keeping books (in this country anyway) but we are offered enough mass culture that most people will spend hours in front of the TV rather than reading books or visiting museums (I do that a lot too). It is hard to believe that this book was written in the 1950's.
__label__1,poor reading: I bought this book on tape as read by the author. It is excruciating to listen to. Don't get this! I should have known that an actor would be a better reader than an author!!
__label__2,Good: "Fahrenheit 451" is set in a time where reading books is strictly forbidden. In this world instead of putting out fires and keeping people safe firefighters burn entire houses containing books and occasionally even people. One of these firefighters Guy Montag has doubts about the whole situation and those doubts are strengthened when he meets a freethinking girl by the name of Clarisse McClellan. The major themes in this book include the value of intelligence and human interaction. I would suggest everyone read this book at least once to help understand why it is important to attain knowledge and break free from ignorance. I overall liked this book and would give it a 4/5
__label__2,Explains a lot of things from the movie: The book was not so good as the movie but the book helps understanding some points that seemed totally random when I saw it.Compared to 1984 it's miles away but still is really nice.
__label__1,Fahrenheit 451: This book is pretty good except it is definitely very advanced. It was very confusing especially the "TV family" which I did not understand at all. It is more of an adult book.
__label__1,Fahrenheit %0ZERO0%: Fahrenheit 451 by Ray BradburyI didnt really like this book it was all just people rambling on and on about how there life sucks the whole worlds sucks and burn books. I dont know how you could enjoy this book. People just talk to talk in this book. Its about a guy named montage that is a firefighter. He burns things instaed of putting fires out. He meets a wierdo girl who talks nonsense this guy starts to think what hes doing starts reading books and gets caught. He then has to burn his books. He doesnt want to go to jail so he Runs away.
__label__1,BURN THIS BOOK!: Hey A reader from MISSOURI I hear you. This book makes no sense what so ever and i had to read it for school. I have no idesa just how in the world a book this horrible could have stayed around for 40 years!!! I have talked to everyone I know and they all read the first 5 pages and immeadiatly hated it. THey rented the movie and watched some of it so they won't have to read it and it was verbatum and guess what...it was even worse than the book! I do reccomend this book to all of you...well only if you want to find out how terrible books can get or you want to find out what type of flammable liquid burns better on books!
__label__1,A Very Dark and Mysterious Book: I first read this book for an English assignment at school. After reading the first few pages I was completely lost. Bradbury expresses a world far different from ours which can seem scary and unrealistic. It is very easy to get caught up in all the different things that happen and it is hard to get into the mood of the plot. Definetly not the greatest book in the world. Personally I hated the book.
__label__1,I tried reading this book for my summer reading & it was bad: I am sorry this book did not make any sense and I am a straight A student. If you have a choice I wouldn't pick this one.
__label__1,WASTE OF MY TIME: first of all i was assigned to read this book for a class. it started out lame. and all it did was get worse. who cares about a firefighter who burns book. now come on i could write a book about booksten times better then that. maybe if the books had names and talked then maybe it would of caught my attention.
__label__1,This is the lamest book I have ever read: This book really sucks. It makes no sense whatsoever and is a waste of my time. Ray should have had better things to do
__label__1,Weird Weird Weird Weird!!!!!!: This book started out weird and ended up wierd and boring! The author has a good idea. We should read instead of watching TV but if this book is one of the choices you had better turn the TV back on. I mean who in his right mind would ever write a book with 4 wall TVs robot dogs and burning books. And the story never really had an ending. It just stopped I guess to end the boredom. I think the author had to get some sort of deal with all the teachers to assign this book. How else would it get on the required reading list? Maybe he gives 50% of the profits from sales. Please don't buy this book you are supporting a lunatic.
__label__2,real cranberries: I just can say i love this album for the simple reason it is the first one and never equaled in sound elegance quality essence delicate sadness and youth. It is incomparable and it deserves to be listen by good and pacient tastes in post XX century pop music.I do recomended.(...)
__label__2,INTERESTING AND SAD!  BUT VERY WELL DONE!: This is very interesting film that is really five stories in one. A dead girl is found and each story is effected by this in one way or another. A great cast and honest dialogue make this one well worth your time. The film is ultimately sad and depressing but each story is very interesting. With a cast featuring Toni Collette Giovanni Ribisi Piper Laurie and many other talents how can you go wrong?
__label__2,motorola phone car charger: product is great. works like it's supposed to. order processing and shipment speedy and efficient
__label__2,It worked: Yep. Motorola knows how to make an automobile power cord. Has a convenient on off light that you'll never miss. It's big and bright.
__label__2,Well made product at fair price: I purchased this product with skepticism because it was so inexpensive.The auto car charger is constructed well and seems to be made with good materials. I have used it for a month and it charges the phone as expected. This is how much an auto adapter should cost and not the ridiculous price that Motorola and it's resellers charge.
__label__1,Not so good: It works. That's the best I can say about it. The outer insulating cover has started to wear off in many places exposing wire after only a month. My phone is telling me that I am using an unauthorized charger. So no this was not a good purchase and I do not trust the source.
__label__1,battle weary: This game is horrible. The battles are so... long slow and unexciting. The scenery is cute but alittle dark for GBA.Don't waste your money.
__label__2,chalinging game: this game is hard and I still havn't beaten it and I have had it for two mothes. I reconmend for only skilled players play.DELTA 904thanks for youre time and patience
__label__1,Horrible Game: This game is boring. You can't follow the story line and if I hadn't read the books I would not understand it at all. The fight scenes take too long and they are also boring. In the mines of Moria there is this one place where you have to go but you get stuck because the game has a bug. The controls are extremely weird and take a long time to get used to. I have bought this game and I do not like it. I would suggest not buying it.
__label__1,why oh why does anyone play this: Yes this has good graphics Yes it has a kind of Zelda theme. But really if your looking for a game that fits the Lord of the rings best then get the Two Towers. Once you are used to that then get the The Return of the King. That is the best game of them all. Ive played all three and the Fellowship is by far the worst game i have ! Please Gameboy dont let Vivendi Universal (the makers of this game) ever make a game based on a film ever again. They wasted away all the good parts of the books and if you want to fight on this game then good luck to you. DO NOT BUY THIS ITS A WASTE OF MONEY !!!!
__label__2,The Code of Dusty Fog: I have read the book and enjoyed it. It is not one of my favorites but it fills in some of the story line. I will be rereading the book. I have all of the Floating Outfit series and am in the process of reading them in order instead of how I purchase them.
__label__1,Intriguing beginning and then schmaltz: I won't go into the plot as other reviewers have already given you a rather complete synopsis. After the beginning of the book the character development was weak and disappointing. Annie starts out as a strong quirky individual by mid-book she's so hung up on Jake that she looses her charm and strength of character. Jake was just too angst ridden for me to enjoy. The secondary characters problems just brought the book down further. That and that their major maritial problem is resolved by sex in the sauna well once again a female character "melts".....pun intended. I guess I had anticipated stronger female and male characters the ones I get from ... I think Ms Wells shows promise but the next book I'll get from the library.
__label__2,I Kept Waking Up My Husband......: I was laughing so hard when I was reading this that I kept waking him up. I then tried not laughing and my body was shaking so much that that woke him up.This is a wonderfully funny book and I hope to read more books by Robin Wells.
__label__2,High Quality For a Reasonable Price: I recently purchased this case and tested it at depths up to 100 feet in Bonaire. It was easy to open and close and there was no possiblity of having it only partially closed. The controls operated ALL the cameras functions there was no leakage or fogging. This case absolutely works as advertised.
__label__1,Hallmark of the disposable society?: Just throw them away after 12 hours? I assume these are plastic. So folks after 12 hours they are obsolete and throw them out to create more useless landfill trash that will last 10 millenia! Yay hooray!
__label__1,NO AVAILABILITY: My rating is for Amazon not the product. I placed this order and just received a mail that it is not available. Why is the availability not updated? I still see it being available now. Very disappointing
__label__1,poor quality DVD recording: movies are okay but the video quality is poor.Is this a legit DVD or black market?They are watchable...but grainy.I guess you get what you pay for.
__label__2,Interesting View Into British Culture: As one would expect these producrions are beautifully presented. The quality of the acting is superb. England seems to produce character actors of great skill and presence. I thoroughly enjoyed the variety of themes presented
__label__2,Colin Firth...need one say more?: Ah! Colin Firth...the ultimate consumate actor in a variety of roles. A delightful diet of films...one a day plus a bonus for the week-end and one can have a film festival all their own!!
__label__2,Ones to watch over and over: Excellent classic style movies. All well acted with excellent stars. Will watch over again many times.Colin Firth is one of my favorites.
__label__1,Sweet Revenge: This is the only film I have watched so far. This is not up to the usual British Cinema quality either in acting or content. I didn't watch to the end. Once he found himself tied up in bed I turned it off.
__label__1,Not worth the great price: Paying about $16 for this collection of 8 films could have been a great buy. I have traveled to UK enough to know that the British people are generally quite polite polished reserved and mannered. With the exception of The Englishman Who Went Up a Hill and Came Down A Mountain (the only redeeming film in this collection; Hugh Grant portrays the real British style well) the makers of the other 7 have obviously visited Hollywood too many times and have drunk their Kool-Aid. The courseness vulgarity even offensiveness in dumbed-down run-on dialogue babbling idiotic nonsense and lack of plausible plot is not up to the usual British polish. The 7 films that lack class and levity of the usual British approach obviously came from the hog-pen of the U.S. cinema trough.
__label__1,Warning. I HIGHLY don't recommend this set!: You would have NO idea reading the description and looking at the picture on the front but most of these movies have a rating of PG-13 and there's even an R!!!They are mostly about sex sensuality and the like.Yuck. I bought this because my daughter likes the historical movies like Pride & Prejudice and Emma etc...These are NOT the same. I threw the set away without even opening it. The ratings are on the back. They should be written on the page.
__label__2,Great card better than expedcted...: Considering the price of this card its hard to be disappointed. I installed it into my freshly built system using a full version of Windows XP. As I write this I am watching an old episode of Star Trek TNG on a small screen on top of AOL. The capture feature works great and the the additional goodies...from cables to a nice remote controller are exceptional. I never use the enclosed driver disk with new hardware and the 8500DV was no exception. There is not any reason not to download the newest drivers for the initial install... I have found it reduces many hassles. Speaking of hassles I have had none with this card. Windows XP is such an improvement for handling complex components like the 8500DV I would recommend it over hassling over a maxed out Win 98 system. This card costs about the same as a prime 3D gaming card. It provides dramatic capabilities. ATI has really done a great job with this card. For the price....it cannot be beat.
__label__2,Great card but difficult to setup: As the other reviews noted there are problems with installing this card even though I got it working successfully in the end. Although it isn't my top pick for a graphics card I have enjoyed being able to hook it up to my VCR and print my digital videos to VHS (yes this is possible although it is a bit tricky to setup.)I withhold one star on this card for having lack of customer support and being hard to setup. If the user manual would have been more comprehensive and if the ATI website would have had more help on the subject of installing this card the whole nasty ordeal of card setup (that almost all night) might have been spared.
__label__1,same: Certain songs from naglfar are without a doubt outstanding esp. "12th rising" "brimstone gate" but the songs off of Vittra all sound similar. I can't really decipher between them. Most of the riffs aren't capturing. It is hard to find the cd Diabolical which has the songs i mentioned above but already I can tell you that cd is better than Vittra.
__label__2,Louie's Goose: A good childrens' book excellent for reading to pre-school aged children. The text can easily be understood by the 3 and 4 year olds in my library story hour as they identify with Louie and his most favorite stuffed animal a red goose. The illustrations are great!
__label__1,Trite story line with poor recipes: I was new to Guanajuato and enjoyed the parts of the book the discuss the city. But the story line was trite even contrived. THe "culinary" part of the mystery included recipes that while tasty are hardly gourmet -- they mostly consisted of things made with Campbell's soup. Not one that I recall was indigenous to Mexico. At least it was a quick read.
__label__1,an unusual writing technique: Joyce was quite understandably frustrated when his magnum opus "Ulysses" did not immediately receive the critical attention he felt it warranted upon its publication in 1922.Thus it was that the artist while composing his next work "Finnegan's Wake" got into the habit of periodically banging his head against the typewriter keys a poignant expression obviously of the searing torment boiling within him.Happily for us the result of these repeated cranial collisions can be viewed in the contents of this volume.
__label__1,self indulgent tripe: "What secondtonone myther rector and maximost bridges-maker was the first to rise taller through his beanstale than thebluegum buaboababbaun or the giganteous Wellingtonia Sequoia;went nudiboots with trouters into a liffeyette when she wasbarely in her tricklies; was well known to claud a conciliationcap onto the esker of his hooth"If I wrote this and attempted to pass this off as a novel no one would ever read it. If they did they would correctly assume that I am in fact a pompous erudite fool. And by the way I know that there are a million academics rating this book that will come on here and tell me how completely wrong my point of view is. But guess what?--I don't care and I'll never actually read any of your responses. Save it for your poor students and old bearded friends wearing tweed jackets with elbow patches.To the rest of you (normal people)--stay away from this book.
__label__1,My farts make more sense than Finnegans Wake: ye make a book alas how is life? Green Bay Packers. Sandwich? Baby. Eat the President lake.Like that prose? That is James Joyce. The king of gibberish. I made it up. But when he does it it is a classic. When I do gibberish it is not. Why?What the hell is going on with Finnegans Wake??? I don't know.Joyce must be the genious of gibberish.I don't get it.
__label__1,Naked Emperors: Admirers of this glimpse into madness must have a great need to feel smug and superior. Such "intellectuals" are painfully desperate and afraid of reality; for it is only in the realm of the naked emperors that they can pretend to be hip.
__label__1,Mad with Vanity: That was how English novelist Evelyn Waugh descibed Joyce when he came to write FW and the judgment is apt. The book itself is tripe; but the contortions Joyce fans put themselves through to justify it are always a source of amusement.
__label__1,He's challenging us to doodle...: I give this book two stars because it's the first and last book to tell us what we already should know...that we think gibberish in that ethereal state between waking and sleep. Finningan's Wake reminds me of the canvas I've seen at countless art shows with a jumble of random splatterings of paint. Any one of us could create the same thing. Why don't we? Joyce is challenging us to get off our duffs and splatter some paint on the canvass. If you think it's worthwhile (personally I don't) do it. You could be the next James Joyce.
__label__2,Nietzsche is NOT the antichrist!: Nietzsche is not fed up with christianity he is fed up with christians and the people who distort christianity. Nietzsche is not the antichrist he is simply the Messenger in a greek tragedy. We are the antichrist."In reality there has been ofnly one christian and he died on the cross. The Evangel died on the cross. what was called 'Evangel' from that moment on was already the oposite of what he had lived"antichrist 39Five stars for Nietzsche three for the lack of notes. Also there are many times when Nietzsche writes in french or latin and there is no note or translation.ps I'm older than twelve.
__label__2,Pocket chart: It is a birthday present for my granddaughter and has not been opened yet. It appears to be as promised and both girls will benefit from it.
__label__2,Sraight-up raw emotions...: From a female hardcore lovers point of view: I have just got to say that Hatebreed is amazing. By far one of the best hardcore albums I've heard in a while. THis album is full of raw true emotion - it makes me aware of where I am with myself as well as with others. Hatebreed goes further than just delivering a simple hardcore sound - they truly give it in a way that makes me FEEL the music. It has the ability to take one to the emotional edge and back. I would love to thank the band personally for creating and SHARING thier sound with others...and for inspiring me.
__label__1,I didn't know Sepultura was hardcore.: It's interesting that Hatebreed gets so much for credit not following in the steps of Slipknot or Limp Bizkit when they now tour with bands like that. Its also interesting in light of the fact that their music is basically identical to any alterna-metal band's except without what little talent or melody those bands possess. This band has as much to do with hardcore as Sepultura. I thought this was a joke band when I heard it. f you're really interested in hardcore put down that jug of Weight Gainer 900 turn off your victory sampler CD and order a Universal Order of Armadgeddon CD immediately. And stop wearing so much adidas newjack.
__label__2,Hatebreed is the god of all that is god about hardcore.: Hatebreed album Satifaction is the Death of Desire has to be one of the all time best albums I have ever heard. I list to a lot of hardcore and and this album never comes out of my disc changer. If you are looking for strong lyrics strong music and an awsome groove that you and your friends can kill each other to buy this and never stop listening to it.
__label__1,Worse than "The Quest": The beginning of the film is nothing more than a hurried attempt to get Van Damme to the Foreign Legion where the real story and action begins right? Unfortunately the rest of the film is nothing more that a snoozefest ripoff of other war movies. At least Van Damme didn't do the splits in this movie. Then again that might have given the film a memorable momement.
__label__2,I liked it but my dog doesn't.: I had bought one of these for my old dog (a large German Shorthaired Pointer) who had a horrible pulling problem. And it worked perfectly for him and he didn't seem to mind. On the other hand I just bought one of these for my 10 month old Coonhound and it also worked to stop his pulling. But he hates it! I can't take him for a walk without him trying to get it off atleast 3-6 times. I think this may just be because he loves to sniff the ground so much that this kind of makes his head go higher up but now I have to order him something else to stop his pulling because of what difficulty it is to use this for him. Other than that amazing product in it's self.
__label__1,Imitation Brand: They sent an imitation; Holt from china instead of the advertised Halti and it cut my dog's face! I tried contacting them but no response.
__label__1,Not good for small dogs like lhasas: This is probably a good product for dogs with square jaw lines but for owners of small dogs such as a lhasa apso or shitzu beware! Because of their flatter facial structures the collar slips off and won't hold as it should. And speaking from experience the size is not the issue i.e. even a small size won't work.
__label__2,The Wild Thornberry's Movie: This game is so cool. I have only played it once and already I would like to purchase it. It has coloring puzzling and even adventures. The only time that I ave played was when I was going to a DNA lab and I had my GBA with a not-so-fun game so somebody let me play The Wild Thornberry's Movie Game and now I would like to purchase it once again to say that.
__label__1,Disappointed: I am sure the story is fine but the disk is imperfect lost my packing slip and need to call to return it.
__label__1,stargate continuum: the story is without a bunchline and not as good as the others stargates that I have bought
__label__2,stargat continuam review by cvf: movie was awsome they did bring back general oneill wich i am REALLY HAPPY about that my only problem with the movie was richerd dean andersons character wasent showed enough
__label__2,Very pleased!: As a loyal fan of the Stargate franchise since the very first movie...I applaud the actors writers and producers/director for a job well done!It still takes some getting used to a 'feature-length movie' vs 'made for television'; meaning I was so used to them getting right to it that I had to learn how to sit back relax and let the actors take me there.I can only say that I was very satisfied with this purchase and I have a little bit more of Stargate in my home...where it belongs.Thanks!DarrylCincinnati OH
__label__2,2/3 done: I am pretty happy with installment 2 out of the 3 that were promised. I have been to a few conventions and have shaken hands with most of the stars but I have a ways to go yet and so do they! I am anxiously awaiting the next one.
__label__2,It's great to have SGC Back: I hope we'll see more of this mini movies though it seems for a story like that a 4 hours movie could have been better. Yet it's a fantastic storyline exploring new ways allowing us however to see all of our favorite teams seens over the years while the show was on.
__label__2,Above expectation: The entertainament quality is above the average of the series SG1. I think this film reached the quality level of Stargate Atlantis.
__label__2,Video Review: Length:: 6:20 MinsThis is my video Review of Stargate Continuum. For more video reviews search "MikePetel" on Youtube. Enjoy!
__label__1,Great movie butt o grainy on blueray: I like all the stargates. But this one and ark of truth are way to grainy they look better on standard dvd. Other then that it's another great stargate film.
__label__1,one time cooker: This rice cooker is good for one time cooking. The rice does not last more than 12 hours. I usually leave my rice for 4 days so that I do not have to keep cooking it (lazy). I returned it and bought Cukoo rice cooker (made in Korea). The rice lasts for 4 days without changing color or get old. Cukoo is more expensive but it will last for years.
__label__1,The few standout tracks on this album are...: 1) The intro "soulstar."2) "youloveme" which should have been the first single not "forthenight."3) Somewhere between "momentinlife" and "thereason."Otherwise a less than stellar album.
